"id","resource","name","province","lat","lon","code"
"35339","http://it.dbpedia.org/resource/Bellinzago_Novarese","Bellinzago Novarese","NO","45.5833","8.63333","A752"
"35340","http://it.dbpedia.org/resource/Biandrate","Biandrate","NO","45.45","8.46667","A844"
"35341","http://it.dbpedia.org/resource/Boca","Boca","NO","45.6833","8.41667","A911"
"35342","http://it.dbpedia.org/resource/Bogogno","Bogogno","NO","45.6667","8.53333","A929"
"35343","http://it.dbpedia.org/resource/Bolzano_Novarese","Bolzano Novarese","NO","45.7649","8.4346","A953"
"35344","http://it.dbpedia.org/resource/Borgo_Ticino","Borgo Ticino","NO","45.6833","8.6","B043"
"35345","http://it.dbpedia.org/resource/Borgolavezzaro","Borgolavezzaro","NO","45.3167","8.7","B016"
"35346","http://it.dbpedia.org/resource/Borgomanero","Borgomanero","NO","45.7","8.46667","B019"
"35347","http://it.dbpedia.org/resource/Briga_Novarese","Briga Novarese","NO","45.7333","8.45","B176"
"35348","http://it.dbpedia.org/resource/Caltignaga","Caltignaga","NO","45.5167","8.58333","B431"
"35351","http://it.dbpedia.org/resource/Casalbeltrame","Casalbeltrame","NO","45.4333","8.46667","B864"
"35352","http://it.dbpedia.org/resource/Casaleggio_Novara","Casaleggio Novara","NO","45.4833","8.5","B883"
"35354","http://it.dbpedia.org/resource/Camastra","Camastra","AG","37.25","13.7835","B460"
"35355","http://it.dbpedia.org/resource/Casalvolone","Casalvolone","NO","45.4","8.46667","B920"
"35356","http://it.dbpedia.org/resource/Castellazzo_Novarese","Castellazzo Novarese","NO","45.5167","8.5","C149"
"35358","http://it.dbpedia.org/resource/Cavaglietto","Cavaglietto","NO","45.6","8.5","C364"
"35359","http://it.dbpedia.org/resource/Cavaglio_d'Agogna","Cavaglio d'Agogna","NO","45.6167","8.48333","C365"
"35360","http://it.dbpedia.org/resource/Cavallirio","Cavallirio","NO","45.5501","8.38346","C378"
"35361","http://it.dbpedia.org/resource/Cerano_(Italia)","Cerano ","NO","45.4","8.78333","C483"
"35362","http://it.dbpedia.org/resource/Colazza","Colazza","NO","45.7833","8.5","C829"
"35363","http://it.dbpedia.org/resource/Cammarata","Cammarata","AG","37.6168","13.6168","B486"
"35365","http://it.dbpedia.org/resource/Cressa","Cressa","NO","45.65","8.51667","D162"
"35367","http://it.dbpedia.org/resource/Cureggio","Cureggio","NO","45.6833","8.46667","D216"
"35369","http://it.dbpedia.org/resource/Canicattì","Canicattì","AG","37.3501","13.85","B602"
"35371","http://it.dbpedia.org/resource/San_Giovanni_Bianco","San Giovanni Bianco","BG","45.8667","9.65","H910"
"35376","http://it.dbpedia.org/resource/Comitini","Comitini","AG","37.4001","13.6334","C928"
"35378","http://it.dbpedia.org/resource/Grotte","Grotte","AG","37.4001","13.7","E209"
"35386","http://it.dbpedia.org/resource/San_Paolo_d'Argon","San Paolo d'Argon","BG","45.6834","9.80003","B310"
"35387","http://it.dbpedia.org/resource/Acceglio","Acceglio","CN","44.4833","6.98333","A016"
"35388","http://it.dbpedia.org/resource/Montallegro","Montallegro","AG","37.3834","13.35","F414"
"35389","http://it.dbpedia.org/resource/Aisone","Aisone","CN","44.3167","7.21667","A113"
"35390","http://it.dbpedia.org/resource/Basiliano_(Italia)","Basiliano ","UD","46.0167","13.1","A700"
"35391","http://it.dbpedia.org/resource/Albaretto_della_Torre","Albaretto della Torre","CN","44.6","8.06667","A139"
"35392","http://it.dbpedia.org/resource/Montevago","Montevago","AG","37.7","12.9834","F655"
"35393","http://it.dbpedia.org/resource/Alto_(Italia)","Alto ","CN","44.1167","8","A238"
"35394","http://it.dbpedia.org/resource/Bertiolo","Bertiolo","UD","45.9334","13.0501","A810"
"35395","http://it.dbpedia.org/resource/Naro","Naro","AG","37.2834","13.7834","F845"
"35396","http://it.dbpedia.org/resource/Argentera","Argentera","CN","44.4","6.93333","A394"
"35397","http://it.dbpedia.org/resource/Arguello","Arguello","CN","44.5833","8.11667","A396"
"35399","http://it.dbpedia.org/resource/Bicinicco","Bicinicco","UD","45.9333","13.25","A855"
"35400","http://it.dbpedia.org/resource/Porto_Empedocle","Porto Empedocle","AG","37.2834","13.5168","F299"
"35401","http://it.dbpedia.org/resource/Bagnasco","Bagnasco","CN","44.3","8.05","A555"
"35402","http://it.dbpedia.org/resource/Bordano","Bordano","UD","46.3167","13.1","A983"
"35405","http://it.dbpedia.org/resource/Baldissero_d'Alba","Baldissero d'Alba","CN","44.7667","7.91667","A589"
"35406","http://it.dbpedia.org/resource/Buja","Buja","UD","46.2167","13.1333","B259"
"35407","http://it.dbpedia.org/resource/Barbaresco_(Italia)","Barbaresco ","CN","44.7167","8.08333","A629"
"35408","http://it.dbpedia.org/resource/Buttrio","Buttrio","UD","46.0167","13.3333","B309"
"35410","http://it.dbpedia.org/resource/Barge","Barge","CN","44.7333","7.31667","A660"
"35411","http://it.dbpedia.org/resource/Camino_al_Tagliamento","Camino al Tagliamento","UD","45.9168","12.9334","B483"
"35413","http://it.dbpedia.org/resource/Barolo_(Italia)","Barolo ","CN","44.6167","7.93333","A671"
"35414","http://it.dbpedia.org/resource/Campoformido","Campoformido","UD","46.0167","13.1667","B536"
"35416","http://it.dbpedia.org/resource/Bastia_Mondovì","Bastia Mondovì","CN","44.45","7.9","A709"
"35418","http://it.dbpedia.org/resource/Battifollo","Battifollo","CN","44.3167","8","A716"
"35419","http://it.dbpedia.org/resource/Carlino","Carlino","UD","45.8","13.1833","B788"
"35420","http://it.dbpedia.org/resource/Beinette","Beinette","CN","44.3667","7.65","A735"
"35421","http://it.dbpedia.org/resource/Cassacco","Cassacco","UD","46.1667","13.1833","B994"
"35422","http://it.dbpedia.org/resource/Bellino_(Italia)","Bellino ","CN","44.5833","7.03333","A750"
"35423","http://it.dbpedia.org/resource/Sant'Omobono_Terme","Sant'Omobono Terme","BG","45.8093","9.5373","M333"
"35424","http://it.dbpedia.org/resource/Belvedere_Langhe","Belvedere Langhe","CN","44.5","7.96667","A774"
"35426","http://it.dbpedia.org/resource/Bene_Vagienna","Bene Vagienna","CN","44.5335","7.81683","A779"
"35427","http://it.dbpedia.org/resource/Cavazzo_Carnico","Cavazzo Carnico","UD","46.3667","13.0333","C389"
"35428","http://it.dbpedia.org/resource/Benevello","Benevello","CN","44.6333","8.1","A782"
"35429","http://it.dbpedia.org/resource/Bernezzo","Bernezzo","CN","44.3833","7.43333","A805"
"35430","http://it.dbpedia.org/resource/Bonvicino","Bonvicino","CN","44.5","8.01667","A979"
"35431","http://it.dbpedia.org/resource/Cercivento","Cercivento","UD","46.5333","12.9833","C494"
"35432","http://it.dbpedia.org/resource/Borgo_San_Dalmazzo","Borgo San Dalmazzo","CN","44.3333","7.48333","B033"
