"page_url","lang","full_title","short_title"
"cf_app.php?admin","en","Application Administration","ADMINISTRATION"
"cf_app.php?db","en","DB","DB"
"cf_app.php?tmpl","en","Templates","TEMPLATES"
"cf_admin.php?tmplfiles","en","Template XML Files","XML FILES"
"cf_admin.php?tmplimages","en","Template Imagess","IMAGES"
"cf_docs.php","en","Documents","DOCUMENTS"
"cf_ajaxplorer_content.php","en","cf_ajaxplorer_content.php","cf_ajaxplorer_content.php"
"index.php","en","Work Table","HOME"
"cf_login.php","en","Accesso utente","HOME"
"cf_logout.php","en","Logout dal sistema","ESCI"
"cf_changepwd.php","en","Password change","PASSWORD CHANGE"
"cf_redirect.php","en","Redirecting...","REDIRECT"
"cf_worktable1.php","en","cf_worktable1.php","cf_worktable1.php"
"cf_worktable2.php","en","cf_worktable2.php","cf_worktable2.php"
"cf_worktable3.php","en","cf_worktable3.php","cf_worktable3.php"
"cf_worktable4.php","en","cf_worktable4.php","cf_worktable4.php"
"cf_worktable5.php","en","cf_worktable5.php","cf_worktable5.php"
"cf_worktable6.php","en","cf_worktable6.php","cf_worktable6.php"
"cf_worktable7.php","en","cf_worktable7.php","cf_worktable7.php"
"cf_worktable8.php","en","cf_worktable8.php","cf_worktable8.php"
"cf_worktable9.php","en","cf_worktable9.php","cf_worktable9.php"
"cf_worktable10.php","en","cf_worktable10.php","cf_worktable10.php"
"cf_worktable11.php","en","cf_worktable11.php","cf_worktable11.php"
"cf_worktable12.php","en","cf_worktable12.php","cf_worktable12.php"
"cf_worktable13.php","en","cf_worktable13.php","cf_worktable13.php"
"cf_worktable14.php","en","cf_worktable14.php","cf_worktable14.php"
"cf_worktable15.php","en","cf_worktable15.php","cf_worktable15.php"
"cf_worktable16.php","en","cf_worktable16.php","cf_worktable16.php"
"cf_worktable17.php","en","cf_worktable17.php","cf_worktable17.php"
"cf_worktable18.php","en","cf_worktable18.php","cf_worktable18.php"
"cf_worktable19.php","en","cf_worktable19.php","cf_worktable19.php"
"cf_worktable20.php","en","cf_worktable20.php","cf_worktable20.php"
"cf_worktable21.php","en","cf_worktable21.php","cf_worktable21.php"
"cf_worktable22.php","en","cf_worktable22.php","cf_worktable22.php"
"cf_worktable23.php","en","cf_worktable23.php","cf_worktable23.php"
"cf_worktable24.php","en","cf_worktable24.php","cf_worktable24.php"
"cf_worktable25.php","en","cf_worktable25.php","cf_worktable25.php"
"cf_worktable26.php","en","cf_worktable26.php","cf_worktable26.php"
"cf_worktable27.php","en","cf_worktable27.php","cf_worktable27.php"
"cf_worktable28.php","en","cf_worktable28.php","cf_worktable28.php"
"cf_worktable29.php","en","cf_worktable29.php","cf_worktable29.php"
"cf_worktable30.php","en","cf_worktable30.php","cf_worktable30.php"
"cf_worktable31.php","en","cf_worktable31.php","cf_worktable31.php"
"cf_worktable32.php","en","cf_worktable32.php","cf_worktable32.php"
"cf_worktable33.php","en","cf_worktable33.php","cf_worktable33.php"
"cf_worktable34.php","en","cf_worktable34.php","cf_worktable34.php"
"cf_worktable35.php","en","cf_worktable35.php","cf_worktable35.php"
"cf_worktable36.php","en","cf_worktable36.php","cf_worktable36.php"
"cf_worktable37.php","en","cf_worktable37.php","cf_worktable37.php"
"cf_worktable38.php","en","cf_worktable38.php","cf_worktable38.php"
"cf_worktable39.php","en","cf_worktable39.php","cf_worktable39.php"
"cf_worktable40.php","en","cf_worktable40.php","cf_worktable40.php"
"cf_app.php?cat1","en","Category 1","CATEGORY 1"
"cf_app.php?cat2","en","Category 2","CATEGORY 2"
"cf_app.php?cat3","en","Category 3","CATEGORY 3"
"cf_app.php?cat4","en","Category 4","CATEGORY 4"
"cf_app.php?cat5","en","Category 5","CATEGORY 5"
"cf_app.php?cat6","en","Category 6","CATEGORY 6"
"cf_app.php?cat7","en","Category 7","CATEGORY 7"
"cf_app.php?cat8","en","Category 8","CATEGORY 8"
"cf_app.php?cat9","en","Category 9","CATEGORY 9"
"cf_worktable_admin.php","en","File Card Administration","FILE CARDS"
"cf_worktable_admin_cat.php","en","File Card Administration","FILE CARD CATEGORIES"
"cf_worktable_wizard.php","en","New File Card wizard","NEW FILE CARD WIZARD"
"cf_worktable_wizard_step2.php","en","Step 2 - Field configuration 1/2","FIELD CONFIGURATION"
"cf_worktable_wizard_step3.php","en","Step 3 - Field configuration 2/2","FIELD CONFIGURATION"
"cf_worktable_wizard_step4.php","en","Step 4 - Data import","DATA IMPORT"
"cf_rest_controller.php","en","REST API","REST API"
"cf_rest_controller.php","it","REST API","REST API"
